text	label
abruti	1
aller chier dans sa caisse	1
aller niquer sa mère	1
aller niquer ta mère	1
aller se faire enculer	1
aller se faire enquler	1
aller se faire enc*ler	1
aller se faire endauffer	1
aller se faire foutre	1
aller se faire fou*re	1
aller se faire mettre	1
allez vous faire foutre	1
andouille	1
anglo-fou	1
Annie Dingo	1
appareilleuse	1
Arabe	1
astèque	1
avorton	1
bachi-bouzouk	1
baleine	1
bande d’abrutis	1
baraki	1
bâtard	1
baudet	1
beauf	1
bellicole	1
bête	1
bête à pleurer	1
bête comme ses pieds	1
bête comme un camion	1
bête comme un chou	1
bête comme un cochon	1
bête comme un cygne	1
bête comme une oie	1
biatch	1
bite	1
bitembois	1
Bitembois	1
bolos	1
bolosse	1
boucaque	1
bouègre	1
bouffi	1
bouffon	1
bouffonne	1
bougnoul	1
bougnoule	1
Bougnoulie	1
bougnoulisation	1
bougnouliser	1
bougre	1
boukak	1
boulet	1
bounioul	1
bounioule	1
bourdille	1
branleur	1
branleuse	1
bridé	1
bridée	1
brise-burnes	1
cacou	1
cafre	1
cageot	1
caldoche	1
carcavel	1
casse-bonbon	1
casse-couille	1
casse-couilles	1
chagasse	1
charogne	1
chauffard	1
chauffeuse	1
chbeb	1
cheveux bleus	1
cheveux vert	1
cheveux arc en ciel	1
chiabrena	1
chien de chrétien	1
chien de chrétienne	1
chiennasse	1
chienne	1
chienne de chrétienne	1
chienne de chrétien	1
chier dessus	1
chie dessus	1
chieur	1
chieuse	1
chinetoc	1
chinetoque	1
Chinetoque	1
chintok	1
chleuh	1
chnoque	1
choucroutard	1
cochonne	1
complotiste	1
con	1
con comme la lune	1
con comme ses pieds	1
con comme un balai	1
con comme un manche	1
con comme une chaise	1
con comme une valise	1
con comme une valise à poignée intérieure	1
con comme une valise sans poignée	1
conasse	1
conchier	1
connard	1
connarde	1
connasse	1
connaud	1
conne	1
conspirationniste	1
contracibête	1
couille molle	1
counifle	1
courtaud	1
courtaude	1
crétin	1
crevure	1
cricri	1
crotté	1
crouïa	1
de merde	1
débile	1
débougnouliser	1
dégouiner	1
doryphore	1
doxosophe	1
doxosophie	1
drouille	1
du schnoc	1
ducon	1
duconnot	1
dugenoux	1
dugland	1
duschnock	1
emmanché	1
emmerder	1
emmerdeur	1
emmerdeuse	1
empafé	1
empaffé	1
empapaouté	1
enculé	1
enculé de ta race	1
enculer	1
enfant de fusil	1
enfant de garce	1
enfant de putain	1
enfant de pute	1
enfant de salaud	1
enflure	1
enfoiré	1
enfoirée	1
envaselineur	1
envoyer faire foutre	1
espèce de	1
espingoin	1
espingouin	1
étron	1
face de chien	1
face de craie	1
face de pet	1
face de rat	1
fachiste	1
FART	1
FDP	1
fell	1
féminazie	1
fermer sa gueule	1
ferme ta gueule	1
ferme ta chatte	1
ferme ta	1
feuj	1
fils de bâtard	1
fils de chien	1
fils de chienne	1
fils de garce	1
fils de pute	1
fils de ta race	1
fiotte	1
floco	1
folle	1
fouteuse	1
foutriquet	1
fragile	1
fripouille	1
frisé	1
fumelard	1
fumier	1
garage à bite	1
garage à bites	1
garce	1
gaupe	1
GDM	1
gestapette	1
Gestapette	1
gland	1
glandeur	1
glandeuse	1
glandouillou	1
glandu	1
glandue	1
gnoul	1
gnoule	1
Godon	1
gogol	1
gogole	1
gogolito	1
gouine	1
gourdasse	1
gourgandine	1
grognasse	1
gueniche	1
guenillard	1
guide de merde	1
guindoule	1
gwer	1
habitant	1
halouf	1
hippopotame	1
hon	1
imbécile	1
incapable	1
islamo-gauchisme	1
islamo-gauchiste	1
islamogauchiste	1
jean-foutre	1
jean-fesse	1
jeannette	1
Joe Bidet	1
journalope	1
journapute	1
judéo-bellicisme	1
judéo-belliciste	1
judéo-bolchévisme	1
judéobellicisme	1
judéobelliciste	1
juivaillon	1
kaffir	1
kahlouche	1
karlouche	1
kawish	1
khel	1
Khmer rose	1
Khmer rouge	1
Khmer vert	1
kikoo	1
kikou	1
koreaboo	1
Kraut	1
krouia	1
kung flu	1
la fermer	1
la ferme	1
lâche	1
lâcheux	1
lavette	1
loche	1
lopette	1
lorpidon	1
lourpidon	1
macho	1
magot	1
makoumé	1
mal blanchi	1
mange-merde	1
manger du nègre	1
manger ses morts	1
mange t'es morts	1
mange t es mors	1
mange tes morts	1
mangeux de marde	1
marchande de poisson	1
marchandot	1
margouilliste	1
marlouf	1
marsouin	1
marsouine	1
mauviette	1
melon	1
mercon	1
merdaille	1
merdaillon	1
merde	1
merdeuse	1
merdeux	1
merdouillard	1
michto	1
minable	1
minus	1
misérable	1
moinaille	1
moins-que-rien	1
moins que rien	1
mollusque	1
monacaille	1
mongol	1
mongol à batteries	1
moricaud	1
mort au	1
mort au juifs	1
mort au juif	1
mort au arabes	1
mort au arabe	1
mort au chrétien	1
morue	1
moule à gaufres	1
moule à merde	1
mouloud	1
naze	1
nazi	1
ndepso	1
nèg	1
négraille	1
nègre	1
nègre d’Océanie	1
négresse	1
négro	1
newfie	1
nez de bœuf	1
nique	1
nique sa mère	1
nique son père	1
nique ta mère	1
nique ton père	1
niquer	1
niquer sa mère	1
niquer sa reum	1
niquez votre mère	1
noob	1
ntm	1
NTM	1
ntr	1
nul	1
nulle	1
ordure	1
PAN	1
PD	1
peau de couille	1
peau de fesse	1
peau de vache	1
pecque	1
pédale	1
pédé	1
pédoque	1
pelle à merde	1
péquenaud	1
personnage de comédie	1
petite bite	1
petite merde	1
petasse	1
p*tasse	1
pet*asse	1
pignouf	1
pignoufe	1
pisser à la raie	1
pisser au cul	1
pissou	1
pithécanthrope	1
planche à repasser	1
pleutre	1
plouc	1
pochard	1
poissonnière	1
pompe à vélo	1
porc	1
porcas	1
porcasse	1
pot à tabac	1
pot de merde	1
pouf	1
pouffiasse	1
poufiasse	1
pourriture	1
Poutler	1
punaise	1
putain	1
putain de ta race	1
pute	1
p*te	1
puuuuute	1
pute borgne	1
putois	1
raclure	1
raclure de bidet	1
radoteur	1
rat	1
raté	1
ratée	1
résidu de capote	1
résidu de fausse couche	1
retourne aux asperges	1
roi des cons	1
roi nègre	1
rond de chiotte	1
sac à foutre	1
sac à merde	1
sac à papier	1
sagouin	1
sagouine	1
salaud	1
salaude	1
sale	1
salop	1
sal*p	1
s*l*p	1
salope	1
sal*pe	1
s*l*pe	1
sans-couilles	1
satrouille	1
schbeb	1
schlague	1
schnock	1
schnoque	1
sent-la-pisse	1
social-traître	1
sociale-traître	1
sorcière	1
sottiseux	1
sous-merde	1
stéarique	1
succube	1
ta bouche	1
ta gueule	1
ta mère	1
ta mère la pute	1
ta race	1
ta yeule	1
ta gueule	1
tafiole	1
tanche	1
tantouserie	1
tantouze	1
tapette	1
tapettitude	1
tarlouze	1
tchoutche	1
tebé	1
tête carrée	1
tête de boche	1
tête de cochon	1
tête de con	1
tête de gland	1
tête de linotte	1
tête de mort	1
tête de mule	1
tête de nœud	1
tête de veau	1
téteux	1
teub	1
teubé	1
Thénardier	1
thon	1
tocard	1
traînée	1
travail d’Arabe	1
travailler comme un nègre	1
triple buse	1
trou du cul	1
trouduc	1
trou duc	1
trous à bites	1
truiasse	1
truie	1
va te faire	1
va te faire foutre	1
va te faire une soupe d’esques	1
vaurien	1
vaurienne	1
vide-couilles	1
viédase	1
vieille conne	1
vieux mec	1
vieux blanc	1
vieux con	1
vipère lubrique	1
visage à deux faces	1
weeaboo	1
xéropineur	1
zguègue	1
zizi	1
Zizisky	1
zoulette	1
comment je te bz	1
Je n'apprécie pas quand les saloppes ne respectent pas l'espace personnel	1
Je n'aime pas quand les p*tes annulent les plans à la dernière minute	1
